[22:13:12.335] Namespace(root_path='../data/Synapse/train_npz', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_iterations=30000, max_epochs=300, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, window_size=7, rank=32, groups=8, disable_gate=False, val_interval=15, is_pretrain=True, exp='AdaDA_Synapse224')
[22:13:12.344] 93 iterations per epoch. 27900 max iterations 
[22:15:17.707] Namespace(root_path='../data/Synapse/train_npz', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_iterations=30000, max_epochs=300, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, window_size=7, rank=32, groups=8, disable_gate=False, val_interval=15, is_pretrain=True, exp='AdaDA_Synapse224')
[22:15:17.714] 93 iterations per epoch. 27900 max iterations 
[06:54:04.907] epoch 136/300  loss: 0.0323  loss_ce: 0.0086  lr: 0.005807  elapsed: 5.22h
[06:56:23.280] epoch 137/300  loss: 0.0367  loss_ce: 0.0082  lr: 0.005775  elapsed: 5.26h
[06:58:41.448] epoch 138/300  loss: 0.0318  loss_ce: 0.0084  lr: 0.005744  elapsed: 5.29h
[07:00:58.897] epoch 139/300  loss: 0.0337  loss_ce: 0.0081  lr: 0.005712  elapsed: 5.33h
[07:03:16.975] epoch 140/300  loss: 0.0335  loss_ce: 0.0080  lr: 0.005680  elapsed: 5.37h
[07:05:34.774] epoch 141/300  loss: 0.0309  loss_ce: 0.0080  lr: 0.005648  elapsed: 5.41h
[07:07:53.467] epoch 142/300  loss: 0.0335  loss_ce: 0.0085  lr: 0.005616  elapsed: 5.45h
[07:10:11.313] epoch 143/300  loss: 0.0336  loss_ce: 0.0082  lr: 0.005584  elapsed: 5.49h
[07:12:29.299] epoch 144/300  loss: 0.0271  loss_ce: 0.0081  lr: 0.005552  elapsed: 5.52h
[07:14:46.848] epoch 145/300  loss: 0.0287  loss_ce: 0.0079  lr: 0.005520  elapsed: 5.56h
[07:17:04.774] epoch 146/300  loss: 0.0338  loss_ce: 0.0079  lr: 0.005488  elapsed: 5.60h
[07:19:22.833] epoch 147/300  loss: 0.0318  loss_ce: 0.0078  lr: 0.005456  elapsed: 5.64h
